SeriesName,CountryName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Population growth (annual %),Afghanistan,2.590485449,2.820724187,3.494658738,4.251504112,4.720528462,4.81804112,4.468918396,3.870470159,3.228629843,2.755225384,2.512573879,2.569114319,2.812616959,3.095118615,3.272702921,3.315224131,3.183201455,2.943234185,2.689163473
Population growth (annual %),Albania,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412
Population growth (annual %),Algeria,1.490807537,1.407131359,1.349663444,1.301452729,1.267231134,1.268579539,1.310924135,1.383398439,1.459708711,1.534038335,1.621298058,1.720717351,1.821358159,1.92478658,2.006614176,2.036091724,2.000666458,1.919959024,1.825463432
Population growth (annual %),American Samoa,1.732238691,1.542574809,1.314208134,1.130561067,0.951198727,0.655083464,0.248350792,-0.246659246,-0.794787147,-1.281837839,-1.519175154,-1.418037659,-1.054862102,-0.571394076,-0.162822288,0.139319888,0.234775807,0.180222443,0.111575019
Population growth (annual %),Andorra,-0.288007423,0.35483105,1.572165551,2.939992206,3.942573353,4.375449193,4.098923478,3.382416554,2.657514798,2.067598124,1.414664768,0.714106277,-0.015392722,-0.829969093,-1.588653118,-2.013314011,-1.956177894,-1.537836294,-0.944016798
Population growth (annual %),Angola,2.715382344,2.83255925,3.032943415,3.245491389,3.411515287,3.526302765,3.573961974,3.575899698,3.566159892,3.564538633,3.563447842,3.566820983,3.570098638,3.570352438,3.55949601,3.531824191,3.485412535,3.42802067,3.367572131
Population growth (annual %),Antigua and Barbuda,2.680533611,2.449374686,2.119596929,1.746950577,1.411392597,1.18347304,1.098273643,1.122202076,1.167350102,1.188904483,1.1933199,1.185659303,1.147471712,1.11147273,1.09925469,1.076058296,1.068648038,1.05434633,1.03542237
Population growth (annual %),Arab World,2.123255897,2.103961624,2.111485977,2.12038835,2.130829875,2.164651603,2.224451766,2.297403411,2.374130067,2.433966567,2.463920532,2.448201037,2.402393182,2.352527472,2.305072627,2.248844291,2.185196861,2.118210404,2.045600939
Population growth (annual %),Argentina,1.131105611,1.115335769,1.110875305,1.111141909,1.10897136,1.10241509,1.088607526,1.070434278,1.050528096,1.034432919,1.025899718,1.02737729,1.035037143,1.044859862,1.050376222,1.047276747,1.032709282,1.00985496,0.984741906
Population growth (annual %),Armenia,-0.781897581,-0.634656819,-0.630956668,-0.618702898,-0.550838989,-0.531785447,-0.571380944,-0.647057335,-0.766331138,-0.863750024,-0.850367271,-0.677479353,-0.391023921,-0.060143665,0.220269188,0.401251977,0.438331527,0.368528212,0.269302288
Population growth (annual %),Aruba,2.114385656,1.960557913,2.055026783,2.22593013,2.229056047,2.109354335,1.757352867,1.30203884,0.797562763,0.384060021,0.131310707,0.09861642,0.212680144,0.376984768,0.512144989,0.592914005,0.587492389,0.524658159,0.459929192
